algorithm,input_type,n,g_label,time_ratio_mean,time_ratio_median,time_ratio_min,time_ratio_max,comparison_ratio_mean,comparison_ratio_median,comparison_ratio_min,comparison_ratio_max
Insertion Sort,random,100,n^2,2.628e-07,2.628e-07,2.628e-07,2.628e-07,1.820901320901321,1.820901320901321,1.820901320901321,1.820901320901321
Insertion Sort,random,1000,n^2,2.2062599999999998e-07,2.2062599999999998e-07,2.2062599999999998e-07,2.2062599999999998e-07,1.9607974508372914,1.9607974508372914,1.9607974508372914,1.9607974508372914
Insertion Sort,random,10000,n^2,2.0755299999999998e-07,2.0755299999999998e-07,2.0755299999999998e-07,2.0755299999999998e-07,1.9832991695810924,1.9832991695810924,1.9832991695810924,1.9832991695810924
Insertion Sort,random,100000,n^2,1.7320289e-07,1.7320289e-07,1.7320289e-07,1.7320289e-07,1.996525467034599,1.996525467034599,1.996525467034599,1.996525467034599
Insertion Sort,reverse,100,n^2,4.718e-07,4.718e-07,4.718e-07,4.718e-07,3.9234654234654234,3.9234654234654234,3.9234654234654234,3.9234654234654234
Insertion Sort,reverse,1000,n^2,4.385e-07,4.385e-07,4.385e-07,4.385e-07,3.992035860561757,3.992035860561757,3.992035860561757,3.992035860561757
Insertion Sort,reverse,10000,n^2,3.72872e-07,3.72872e-07,3.72872e-07,3.72872e-07,3.9992003598600565,3.9992003598600565,3.9992003598600565,3.9992003598600565
Insertion Sort,reverse,100000,n^2,3.448407e-07,3.448407e-07,3.448407e-07,3.448407e-07,3.99992000359986,3.99992000359986,3.99992000359986,3.99992000359986
Insertion Sort,nearly-sorted,100,n^2,8.890000000000001e-08,8.890000000000001e-08,8.890000000000001e-08,8.890000000000001e-08,0.6946386946386947,0.6946386946386947,0.6946386946386947,0.6946386946386947
Insertion Sort,nearly-sorted,1000,n^2,6.874e-09,6.874e-09,6.874e-09,6.874e-09,0.041515619204862235,0.041515619204862235,0.041515619204862235,0.041515619204862235
Insertion Sort,nearly-sorted,10000,n^2,6.02749e-09,6.02749e-09,6.02749e-09,6.02749e-09,0.05395317620526547,0.05395317620526547,0.05395317620526547,0.05395317620526547
Insertion Sort,nearly-sorted,100000,n^2,5.24902e-09,5.24902e-09,5.24902e-09,5.24902e-09,0.051854814776298636,0.051854814776298636,0.051854814776298636,0.051854814776298636
Insertion Sort,many_duplicates,100,n^2,1.3240000000000002e-07,1.3240000000000002e-07,1.3240000000000002e-07,1.3240000000000002e-07,1.0221445221445222,1.0221445221445222,1.0221445221445222,1.0221445221445222
Insertion Sort,many_duplicates,1000,n^2,2.0707200000000002e-07,2.0707200000000002e-07,2.0707200000000002e-07,2.0707200000000002e-07,1.896960705725646,1.896960705725646,1.896960705725646,1.896960705725646
Insertion Sort,many_duplicates,10000,n^2,2.08231e-07,2.08231e-07,2.08231e-07,2.08231e-07,1.968351933154131,1.968351933154131,1.968351933154131,1.968351933154131
Insertion Sort,many_duplicates,100000,n^2,1.7539681000000002e-07,1.7539681000000002e-07,1.7539681000000002e-07,1.7539681000000002e-07,1.9950218481425646,1.9950218481425646,1.9950218481425646,1.9950218481425646
Quick Sort,random,100,n log2 n,2.275786767219698e-06,2.275786767219698e-06,2.275786767219698e-06,2.275786767219698e-06,2.79694262068929,2.79694262068929,2.79694262068929,2.79694262068929
Quick Sort,random,1000,n log2 n,2.5359770268052656e-06,2.5359770268052656e-06,2.5359770268052656e-06,2.5359770268052656e-06,2.2313121132808744,2.2313121132808744,2.2313121132808744,2.2313121132808744
Quick Sort,random,10000,n log2 n,4.97823839879374e-06,4.97823839879374e-06,4.97823839879374e-06,4.97823839879374e-06,2.1805116646234857,2.1805116646234857,2.1805116646234857,2.1805116646234857
Quick Sort,random,100000,n log2 n,4.538558803606859e-06,4.538558803606859e-06,4.538558803606859e-06,4.538558803606859e-06,2.1843192981490973,2.1843192981490973,2.1843192981490973,2.1843192981490973
Quick Sort,reverse,100,n log2 n,1.5126757282115058e-06,1.5126757282115058e-06,1.5126757282115058e-06,1.5126757282115058e-06,1.8846947791730808,1.8846947791730808,1.8846947791730808,1.8846947791730808
Quick Sort,reverse,1000,n log2 n,1.937629738757159e-06,1.937629738757159e-06,1.937629738757159e-06,1.937629738757159e-06,1.700268386732487,1.700268386732487,1.700268386732487,1.700268386732487
Quick Sort,reverse,10000,n log2 n,1.6927593973675906e-06,1.6927593973675906e-06,1.6927593973675906e-06,1.6927593973675906e-06,1.635496092368701,1.635496092368701,1.635496092368701,1.635496092368701
Quick Sort,reverse,100000,n log2 n,1.5116142964467945e-06,1.5116142964467945e-06,1.5116142964467945e-06,1.5116142964467945e-06,1.5953001986991826,1.5953001986991826,1.5953001986991826,1.5953001986991826
