input_type,algorithm,n,time_ms,comparisons,input_type_label
many_duplicates,Insertion Sort,100,0.001324,2631.0,Many Duplicates
many_duplicates,Insertion Sort,1000,0.207072,475661.0,Many Duplicates
many_duplicates,Insertion Sort,10000,20.8231,49223559.0,Many Duplicates
many_duplicates,Insertion Sort,100000,1753.9681,4987704245.0,Many Duplicates
many_duplicates,Quick Sort,100,0.004977,5295.0,Many Duplicates
many_duplicates,Quick Sort,1000,0.055414,63521.0,Many Duplicates
many_duplicates,Quick Sort,10000,0.787152,712879.0,Many Duplicates
many_duplicates,Quick Sort,100000,8.94842,7948493.0,Many Duplicates
many_duplicates,Counting Sort,100,0.000947,403.0,Many Duplicates
many_duplicates,Counting Sort,1000,0.004484,4021.0,Many Duplicates
many_duplicates,Counting Sort,10000,0.035821,40201.0,Many Duplicates
many_duplicates,Counting Sort,100000,0.773004,402001.0,Many Duplicates
nearly-sorted,Insertion Sort,100,0.000889,1788.0,Nearly Sorted
nearly-sorted,Insertion Sort,1000,0.006874,10410.0,Nearly Sorted
nearly-sorted,Insertion Sort,10000,0.602749,1349234.0,Nearly Sorted
nearly-sorted,Insertion Sort,100000,52.4902,129640926.0,Nearly Sorted
nearly-sorted,Quick Sort,100,0.001254,1335.0,Nearly Sorted
nearly-sorted,Quick Sort,1000,0.01936,18359.0,Nearly Sorted
nearly-sorted,Quick Sort,10000,0.335387,296642.0,Nearly Sorted
nearly-sorted,Quick Sort,100000,4.050336,4098232.0,Nearly Sorted
nearly-sorted,Counting Sort,100,0.000701,501.0,Nearly Sorted
nearly-sorted,Counting Sort,1000,0.00443,5001.0,Nearly Sorted
nearly-sorted,Counting Sort,10000,0.092351,50001.0,Nearly Sorted
nearly-sorted,Counting Sort,100000,0.64563,500001.0,Nearly Sorted
random,Insertion Sort,100,0.002628,4687.0,Random
random,Insertion Sort,1000,0.220626,491668.0,Random
random,Insertion Sort,10000,20.7553,49597352.0,Random
random,Insertion Sort,100000,1732.0289,4991463405.0,Random
random,Quick Sort,100,0.001512,1812.0,Random
random,Quick Sort,1000,0.025273,24513.0,Random
random,Quick Sort,10000,0.661494,339662.0,Random
random,Quick Sort,100000,7.538383,4408073.0,Random
random,Counting Sort,100,0.000912,501.0,Random
random,Counting Sort,1000,0.004243,5001.0,Random
random,Counting Sort,10000,0.095392,50001.0,Random
random,Counting Sort,100000,0.873323,499998.0,Random
reverse,Insertion Sort,100,0.004718,10099.0,Reversed
reverse,Insertion Sort,1000,0.4385,1000999.0,Reversed
reverse,Insertion Sort,10000,37.2872,100009999.0,Reversed
reverse,Insertion Sort,100000,3448.407,10000099999.0,Reversed
reverse,Quick Sort,100,0.001005,1221.0,Reversed
reverse,Quick Sort,1000,0.01931,18679.0,Reversed
reverse,Quick Sort,10000,0.224929,254764.0,Reversed
reverse,Quick Sort,100000,2.510737,3219401.0,Reversed
reverse,Counting Sort,100,0.000616,501.0,Reversed
reverse,Counting Sort,1000,0.003556,5001.0,Reversed
reverse,Counting Sort,10000,0.09147,50001.0,Reversed
reverse,Counting Sort,100000,0.645531,500001.0,Reversed
