input_type,algorithm,n,mean,median,min,max
random,Insertion Sort,100,0.002628,0.002628,0.002628,0.002628
random,Insertion Sort,1000,0.220626,0.220626,0.220626,0.220626
random,Insertion Sort,10000,20.7553,20.7553,20.7553,20.7553
random,Insertion Sort,100000,1732.0289,1732.0289,1732.0289,1732.0289
random,Quick Sort,100,0.001512,0.001512,0.001512,0.001512
random,Quick Sort,1000,0.025273,0.025273,0.025273,0.025273
random,Quick Sort,10000,0.661494,0.661494,0.661494,0.661494
random,Quick Sort,100000,7.538383,7.538383,7.538383,7.538383
random,Counting Sort,100,0.000912,0.000912,0.000912,0.000912
random,Counting Sort,1000,0.004243,0.004243,0.004243,0.004243
random,Counting Sort,10000,0.095392,0.095392,0.095392,0.095392
random,Counting Sort,100000,0.873323,0.873323,0.873323,0.873323
reverse,Insertion Sort,100,0.004718,0.004718,0.004718,0.004718
reverse,Insertion Sort,1000,0.4385,0.4385,0.4385,0.4385
reverse,Insertion Sort,10000,37.2872,37.2872,37.2872,37.2872
reverse,Insertion Sort,100000,3448.407,3448.407,3448.407,3448.407
reverse,Quick Sort,100,0.001005,0.001005,0.001005,0.001005
reverse,Quick Sort,1000,0.01931,0.01931,0.01931,0.01931
reverse,Quick Sort,10000,0.224929,0.224929,0.224929,0.224929
reverse,Quick Sort,100000,2.510737,2.510737,2.510737,2.510737
reverse,Counting Sort,100,0.000616,0.000616,0.000616,0.000616
reverse,Counting Sort,1000,0.003556,0.003556,0.003556,0.003556
reverse,Counting Sort,10000,0.09147,0.09147,0.09147,0.09147
reverse,Counting Sort,100000,0.645531,0.645531,0.645531,0.645531
nearly-sorted,Insertion Sort,100,0.000889,0.000889,0.000889,0.000889
nearly-sorted,Insertion Sort,1000,0.006874,0.006874,0.006874,0.006874
nearly-sorted,Insertion Sort,10000,0.602749,0.602749,0.602749,0.602749
nearly-sorted,Insertion Sort,100000,52.4902,52.4902,52.4902,52.4902
nearly-sorted,Quick Sort,100,0.001254,0.001254,0.001254,0.001254
nearly-sorted,Quick Sort,1000,0.01936,0.01936,0.01936,0.01936
nearly-sorted,Quick Sort,10000,0.335387,0.335387,0.335387,0.335387
nearly-sorted,Quick Sort,100000,4.050336,4.050336,4.050336,4.050336
nearly-sorted,Counting Sort,100,0.000701,0.000701,0.000701,0.000701
nearly-sorted,Counting Sort,1000,0.00443,0.00443,0.00443,0.00443
nearly-sorted,Counting Sort,10000,0.092351,0.092351,0.092351,0.092351
nearly-sorted,Counting Sort,100000,0.64563,0.64563,0.64563,0.64563
many_duplicates,Insertion Sort,100,0.001324,0.001324,0.001324,0.001324
many_duplicates,Insertion Sort,1000,0.207072,0.207072,0.207072,0.207072
many_duplicates,Insertion Sort,10000,20.8231,20.8231,20.8231,20.8231
many_duplicates,Insertion Sort,100000,1753.9681,1753.9681,1753.9681,1753.9681
many_duplicates,Quick Sort,100,0.004977,0.004977,0.004977,0.004977
many_duplicates,Quick Sort,1000,0.055414,0.055414,0.055414,0.055414
many_duplicates,Quick Sort,10000,0.787152,0.787152,0.787152,0.787152
many_duplicates,Quick Sort,100000,8.94842,8.94842,8.94842,8.94842
many_duplicates,Counting Sort,100,0.000947,0.000947,0.000947,0.000947
many_duplicates,Counting Sort,1000,0.004484,0.004484,0.004484,0.004484
many_duplicates,Counting Sort,10000,0.035821,0.035821,0.035821,0.035821
many_duplicates,Counting Sort,100000,0.773004,0.773004,0.773004,0.773004
